m,time(s),stdv
0,541.5188112258911,1.174149217220365
2,131.18726015090942,0.09734460325647606
4,49.49936048189799,0.0953438447097058
8,40.01704160372416,0.02385308367419855
16,42.51396791140238,0.11909365290654918
32,47.22873139381409,0.0849450927847258
64,53.2557524840037,0.043273699221225106
128,60.446067571640015,0.154185393385423
256,69.40626986821492,0.09932472307541812
