n,time(s),stdv
0,0.14407722155253092,0.006269692650834458
2,0.18195867538452148,0.0020811946572246625
4,0.04039502143859863,0.005785635548185713
8,0.03941877683003744,0.004785867020693587
16,0.016274054845174152,0.0009596178199422293
32,0.015800952911376953,0.0013484438868772459
64,0.015785853068033855,0.0009222015332686284
128,0.015915314356486004,0.001043676188530217
256,0.012247800827026367,0.0009347191499726042
