m, Time_in_s, Standard_dev
0,15.29254937171936,1.69095684372499
2,9.05963126818339,1.4392200531532582
4,5.528903643290202,0.5585992346410759
8,4.882505575815837,0.05744031582885604
16,4.766924063364665,0.016496289600176645
32,4.71187702814738,0.024387614425024264
64,4.669895728429158,0.00994775912711587
128,4.687792619069417,0.025717494370255337
