n,time(s),stdv
0,0.16126863161722818,0.004189375957400944
2,0.12908697128295898,0.007243521550420455
4,0.03518390655517578,0.0038184534817117814
8,0.03453834851582845,0.0049558909377175895
16,0.018841663996378582,0.002446950060060229
32,0.018162329991658527,0.0011774853831029474
64,0.019790093104044598,0.0014455735929738635
128,0.018723726272583008,0.0014682947945585385
256,0.016412973403930664,0.0007095815577691674
