s,time,stdv
2,0.07444159189860027,0.001320345996923001
4,0.049729506174723305,0.002363198321280301
8,0.044034719467163086,0.0030872147916809287
16,0.043350776036580406,0.0048998801772883235
32,0.04129568735758463,0.0028561967668483445
64,2.304712931315104e-06,5.506041232963808e-07
128,2.2252400716145835e-06,6.882551541204759e-07
