n,time,stdv
2,1.430511474609375e-05,2.0230487285229133e-06
4,4.172325134277344e-05,3.371747880871523e-07
8,0.00034618377685546875,5.799406355099019e-05
16,0.0025979280471801758,0.00015594333949030793
