n,time,stdv
2,1.811981201171875e-05,6.743495761743046e-07
4,9.322166442871094e-05,1.3486991523486091e-06
8,0.0004949569702148438,4.1135324146632575e-05
16,0.0029371976852416992,7.468421556130422e-05
