n,time,stdv
2,6.4373016357421875e-06,6.743495761743046e-07
4,3.337860107421875e-05,6.743495761743046e-07
8,0.0005854368209838867,5.900558791525165e-06
16,0.0023189783096313477,2.1073424255447017e-05
