n,time(s),stdv
2,5.6743621826171875e-05,nan
4,0.0002663135528564453,nan
8,0.0021283626556396484,nan
16,0.01804804801940918,nan
32,0.13808822631835938,nan
64,0.9631729125976562,nan
128,7.329249382019043,nan
