n,time(s),stdv
2,5.602836608886719e-05,nan
4,0.0002789497375488281,nan
8,0.002254009246826172,nan
16,0.01683783531188965,nan
32,0.11534404754638672,nan
64,0.9425625801086426,nan
128,7.398315906524658,nan
