n,time(s),stdv
2,5.817413330078125e-05,nan
4,0.00026035308837890625,nan
8,0.0020742416381835938,nan
16,0.017171621322631836,nan
32,0.12176299095153809,nan
64,0.9604232311248779,nan
128,7.427587032318115,nan
